(134217728, 14913081, 0.55)			  1138.805		2577.262		2570.271
(134217728, 14913081, 0.55)			  1131.564		2569.729		2560.699
(134217728, 14913081, 0.55)			  1099.311		2555.511		2549.310
(134217728, 14913081, 0.55)			  1100.133		2474.451		2532.771
(134217728, 14913081, 0.55)			  1133.206		2526.534		2511.643
(134217728, 14913081, 0.55)			  1106.946		2504.050		2487.039
(134217728, 14913081, 0.55)			  1096.764		2479.305		2463.260
(134217728, 14913081, 0.55)			  1075.693		2441.166		2426.606
(134217728, 14913081, 0.55)			  1040.159		2265.957		2367.289
(134217728, 14913081, 0.55)			  1009.028		2349.188		2322.101
(134217728, 14913081, 0.55)			   964.891		2273.582		2241.225
(134217728, 14913081, 0.55)			  1119.165		2594.373		2585.766
(134217728, 14913081, 0.55)			  1155.198		2553.776		2564.549
(134217728, 14913081, 0.55)			  1111.187		2572.178		2561.962
(134217728, 14913081, 0.55)			  1109.448		2559.653		2548.668
(134217728, 14913081, 0.55)			  1145.238		2425.022		2526.538
(134217728, 14913081, 0.55)			  1109.918		2520.060		2506.732
(134217728, 14913081, 0.55)			  1108.187		2483.916		2480.844
(134217728, 14913081, 0.55)			  1090.350		2461.472		2444.458
(134217728, 14913081, 0.55)			  1049.195		2410.087		2386.508
(134217728, 14913081, 0.55)			  1019.247		2360.299		2334.581
(134217728, 14913081, 0.55)			   974.103		2281.972		2250.295
(134217728, 14913081, 0.55)			  1188.506		2654.038		2669.683
(134217728, 14913081, 0.55)			  1110.023		2665.494		2657.164
(134217728, 14913081, 0.55)			  1162.026		2652.393		2639.805
(134217728, 14913081, 0.55)			  1133.889		2637.809		2627.509
(134217728, 14913081, 0.55)			  1134.151		2619.703		2606.446
(134217728, 14913081, 0.55)			  1133.567		2562.202		2580.665
(134217728, 14913081, 0.55)			  1142.318		2567.851		2542.519
(134217728, 14913081, 0.55)			  1117.744		2517.614		2502.495
(134217728, 14913081, 0.55)			  1071.690		2471.391		2446.460
(134217728, 14913081, 0.55)			  1039.202		2415.129		2387.547
(134217728, 14913081, 0.55)			   996.167		2328.550		2292.597
(134217728, 14913081, 0.55)			  1160.165		2554.226		2559.830
(134217728, 14913081, 0.55)			  1132.213		2556.912		2550.256
(134217728, 14913081, 0.55)			  1099.450		2546.373		2539.312
(134217728, 14913081, 0.55)			  1132.885		2533.837		2523.726
(134217728, 14913081, 0.55)			  1101.870		2515.177		2503.715
(134217728, 14913081, 0.55)			  1074.530		2463.296		2479.388
(134217728, 14913081, 0.55)			  1098.180		2469.590		2453.794
(134217728, 14913081, 0.55)			  1078.945		2434.614		2418.124
(134217728, 14913081, 0.55)			  1044.889		2384.092		2369.394
(134217728, 14913081, 0.55)			  1012.005		2341.315		2316.333
(134217728, 14913081, 0.55)			   967.184		2263.608		2233.793
(134217728, 14913081, 0.55)			  1118.789		2452.792		2451.404
(134217728, 14913081, 0.55)			  1064.156		2450.806		2443.133
(134217728, 14913081, 0.55)			  1101.346		2438.458		2432.939
(134217728, 14913081, 0.55)			  1064.131		2404.590		2420.893
(134217728, 14913081, 0.55)			  1063.968		2415.360		2404.660
(134217728, 14913081, 0.55)			  1072.405		2393.552		2384.268
(134217728, 14913081, 0.55)			  1066.110		2375.636		2364.384
(134217728, 14913081, 0.55)			  1044.483		2344.401		2211.066
(134217728, 14913081, 0.55)			   997.283		2305.574		2288.429
(134217728, 14913081, 0.55)			   987.237		2258.538		2116.702
(134217728, 14913081, 0.55)			   919.834		2189.204		2169.929
