Thread 	ThreadMemoryUsage	Warp	WarpMemoryUsage	Sub_Warp 	Sub_WarpMemoryUsage	Sub_Warp_Level 	Sub_Warp_LevelMemoryUsage
106.488	 0.749828	108.136	 0.749878	112.952	 0.749847	100.708	 0.874847
106.302	 1.499989	108.133	 1.499146	112.613	 1.499603	100.732	 1.624603
106.221	 2.999943	108.057	 2.999390	112.613	 2.999847	100.668	 3.124847
106.064	 5.999989	108.17	 5.998413	112.498	 5.999664	100.685	 6.124664
106.169	 11.999966	107.993	 11.999390	112.586	 11.999786	100.689	 12.124786
106.127	 23.999897	108.119	 23.998657	112.834	 23.999969	100.687	 24.124969
106.109	 47.999966	108.094	 47.999146	112.704	 47.999664	100.634	 48.124664
106.139	 95.999828	108.047	 95.999878	112.585	 95.999786	100.658	 96.124786
106.095	 191.999966	108.805	 191.998657	112.545	 191.999786	100.619	 192.124786
106.089	 383.999554	108.604	 383.999146	112.785	 383.999420	100.567	 384.124420
106.472	 767.999943	108.153	 767.999146	112.518	 767.999664	100.55	 768.124664
