WorkLoad	ThreadInsert 	ThreadSearch 	WarpInsert	WarpSearch	Sub_WarpInsert 	Sub_WarpSearch	LevelInsert 	LevelSearch
32768	1798.66	5.13419	504.708	86.9834	1393.84	315.02	922.074	249.473
65536	2845.31	1929.85	607.445	486.086	1888.56	793.59	1495.22	774.051
131072	3452.85	2946.31	650.412	545.294	2340.78	1237.82	1788.4	1189.66
262144	1898.67	2652.8	671.725	562.736	2388.5	1450.76	1519.53	1424.92
524288	1020.89	2291.92	682.466	573.775	2202.74	1683.37	1399.01	1621.27
1048576	644.943	1811.37	687.973	586.283	1793.04	1897.37	1354.95	1830
2097152	523.013	1390.14	692.054	593.391	1522.51	2004.9	1318.24	1902.92
4194304	474.065	1191.07	694.345	599.068	1393.9	2058.91	1262.35	1942.23
8388608	451.649	1113.55	694.011	602.31	1339.81	2093.36	1222.45	1964.78
16777216	441.244	1080.34	693.754	602.173	1308	2108.61	1202.25	1988.39
33554432	433.95	1065.05	693.39	602.098	1283.89	2105.16	1191.04	1980.95
67108864	429.533	1057.23	692.856	602.011	1255.13	2101.39	1165.07	1978.73
134217728	427.328	1053.65	692.506	602.004	1242.24	2100.57	1153.16	1976.92
