WorkLoad	ThreadInsert 	ThreadSearch 	WarpInsert	WarpSearch	Sub_WarpInsert 	Sub_WarpSearch	LevelInsert 	LevelSearch
32768	3156.57	1717.03	1261.61	835.115	2820.4	935.629	2080.56	820.641
65536	5252.1	3094.06	1476.84	1028.98	4101.05	1592.76	2761.82	1571.93
131072	7250.58	4643.39	1614.57	1170.63	5243.29	2318.25	3829.66	2256.32
262144	9124.09	7396.45	1726.28	1268.01	6317.92	3445.42	4273.43	3389.37
524288	1195	4603.2	1776.07	1174.26	3102.51	2758.16	2946.03	2729.26
1048576	579.81	2035.49	1794.65	1160.09	1834.96	2741.53	1838.67	2725.09
2097152	462.992	1342.67	1531.67	1158.75	1486.03	2662.25	1500.25	2659.72
4194304	448.652	1163.01	1385.16	1146.9	1339.56	2597.67	1316.6	2589.59
8388608	424.795	1062.11	1287.4	1139.8	1262.6	2516.54	1237.68	2505.82
16777216	412.069	1019.91	1245.77	1130.11	1222.98	2460.76	1203.71	2460.81
33554432	404.524	1000.29	1217.68	1124.39	1191.25	2436.52	1178.21	2434.27
67108864	401.241	989.573	1204.71	1127.75	1178	2429.82	1167.17	2423.48
134217728	399.663	984.205	1196.62	1126.72	1172.78	2419.03	1162.04	2418.34
